index,video_id,label_from_thumbnail_or_title,url,thumb_file
105,jmWUlJ1U5J0,자기 인생을 살자,https://www.youtube.com/watch?v=jmWUlJ1U5J0,artifacts/bzcf_thumbnails/thumbs/105_자기 인생을 살자.jpg
106,C7SlaUqCLZU,미국이 이겨야 합니다 (구글 전 대표),https://www.youtube.com/watch?v=C7SlaUqCLZU,artifacts/bzcf_thumbnails/thumbs/106_미국이 이겨야 합니다 (구글 전 대표).jpg
107,rw8zFLundR8,159억 투자 유치 20대 대표 (두들린 이태규 대표),https://www.youtube.com/watch?v=rw8zFLundR8,artifacts/bzcf_thumbnails/thumbs/107_159억 투자 유치 20대 대표 (두들린 이태규 대표).jpg
108,LG8P2mB-Zbk,인공지능 전문가 어딨냐 (코슬라),https://www.youtube.com/watch?v=LG8P2mB-Zbk,artifacts/bzcf_thumbnails/thumbs/108_인공지능 전문가 어딨냐 (코슬라).jpg
109,DhDQMkZfGUI,99년생 투자회사 대표 인터뷰,https://www.youtube.com/watch?v=DhDQMkZfGUI,artifacts/bzcf_thumbnails/thumbs/109_99년생 투자회사 대표 인터뷰.jpg
110,3TMnDCv4IN0,일론머스크 30분 전문번역,https://www.youtube.com/watch?v=3TMnDCv4IN0,artifacts/bzcf_thumbnails/thumbs/110_일론머스크 30분 전문번역.jpg
111,nvi_wl39Mx0,아침 5시에 일어나 (고긴스),https://www.youtube.com/watch?v=nvi_wl39Mx0,artifacts/bzcf_thumbnails/thumbs/111_아침 5시에 일어나 (고긴스).jpg
112,-m6qFP4Tk30,전문직 하지마,https://www.youtube.com/watch?v=-m6qFP4Tk30,artifacts/bzcf_thumbnails/thumbs/112_전문직 하지마.jpg
113,9OPTVHcXrqM,"나발과 대화, 귀하다",https://www.youtube.com/watch?v=9OPTVHcXrqM,"artifacts/bzcf_thumbnails/thumbs/113_나발과 대화, 귀하다.jpg"
114,LhOcio1Hrr8,비트코인 시간문제다 (발라지),https://www.youtube.com/watch?v=LhOcio1Hrr8,artifacts/bzcf_thumbnails/thumbs/114_비트코인 시간문제다 (발라지).jpg
115,1UiU3UWsOYw,주식 지금 고점임 (하워드막스),https://www.youtube.com/watch?v=1UiU3UWsOYw,artifacts/bzcf_thumbnails/thumbs/115_주식 지금 고점임 (하워드막스).jpg
116,2_owzZFLxp8,경제적 자유 (스콧 갤러웨이),https://www.youtube.com/watch?v=2_owzZFLxp8,artifacts/bzcf_thumbnails/thumbs/116_경제적 자유 (스콧 갤러웨이).jpg
117,Fj58zAEomy0,억대연봉 포기하고 창업한 이유 (클로브 도은욱 대표),https://www.youtube.com/watch?v=Fj58zAEomy0,artifacts/bzcf_thumbnails/thumbs/117_억대연봉 포기하고 창업한 이유 (클로브 도은욱 대표).jpg
118,ulGLviVsEl0,골드만삭스 부회장 : 일 잘하는 법,https://www.youtube.com/watch?v=ulGLviVsEl0,artifacts/bzcf_thumbnails/thumbs/118_골드만삭스 부회장 일 잘하는 법.jpg
119,4ZXmqJtNWyQ,완벽한 아침루틴 (앤드루 후버만),https://www.youtube.com/watch?v=4ZXmqJtNWyQ,artifacts/bzcf_thumbnails/thumbs/119_완벽한 아침루틴 (앤드루 후버만).jpg
120,0mol9CzZYw0,술담배 하지마 (트럼프),https://www.youtube.com/watch?v=0mol9CzZYw0,artifacts/bzcf_thumbnails/thumbs/120_술담배 하지마 (트럼프).jpg
121,a_N9ErN4PxE,트럼프 AI연설 전체번역,https://www.youtube.com/watch?v=a_N9ErN4PxE,artifacts/bzcf_thumbnails/thumbs/121_트럼프 AI연설 전체번역.jpg
122,ILXgqndC9O0,"더벤처스 김철우 대표님 초대석 (번개장터, 셀잇)",https://www.youtube.com/watch?v=ILXgqndC9O0,"artifacts/bzcf_thumbnails/thumbs/122_더벤처스 김철우 대표님 초대석 (번개장터, 셀잇).jpg"
123,VZdqLObuxL4,그러면 사업이 더 잘 됩니다,https://www.youtube.com/watch?v=VZdqLObuxL4,artifacts/bzcf_thumbnails/thumbs/123_그러면 사업이 더 잘 됩니다.jpg
124,vECs2lEOCUU,소프트웨어 3.0,https://www.youtube.com/watch?v=vECs2lEOCUU,artifacts/bzcf_thumbnails/thumbs/124_소프트웨어 3.0.jpg
125,5fgVLOlyLfw,눈뜨고 돈 빼앗기는 중 (마이클 세일러),https://www.youtube.com/watch?v=5fgVLOlyLfw,artifacts/bzcf_thumbnails/thumbs/125_눈뜨고 돈 빼앗기는 중 (마이클 세일러).jpg
